Product / Metric	Formula	Explanation
 NTB - Priority 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB")*($H$93:$H$321="Priority")) 	 Priority for NTB. 
 NTB - Premium 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB")*($H$93:$H$321="Premium")) 	 Premium for NTB. 
 NTB - Intl 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB")*($H$93:$H$321="Intl")) 	 Intl for NTB. 
 NTB - - (dash) 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB")*($H$93:$H$321="-")) 	 Dash H for NTB. 
 NTB-Intl - Total 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB-Intl")*($H$93:$H$321="Total")) 	 Total NTB-Intl. 
 NTB-Intl - Net 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB-Intl")*($H$93:$H$321="Net")) 	 Net NTB-Intl. 
 NTB-Intl - Sub/Txf In 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB-Intl")*($H$93:$H$321="Sub/Txf In")) 	 NTB-Intl inflows. 
 NTB-Intl - Red/Txf Out 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB-Intl")*($H$93:$H$321="Red/Txf Out")) 	 NTB-Intl outflows. 
 NTB-Intl - CASA 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB-Intl")*($H$93:$H$321="CASA")) 	 CASA for NTB-Intl. 
 NTB-Intl - TD 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB-Intl")*($H$93:$H$321="TD")) 	 TD for NTB-Intl. 
 NTB-Intl - Others 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB-Intl")*($H$93:$H$321="Others")) 	 Others for NTB-Intl. 
 NTB-Intl - Priority 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB-Intl")*($H$93:$H$321="Priority")) 	 Priority for NTB-Intl. 
 NTB-Intl - Premium 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB-Intl")*($H$93:$H$321="Premium")) 	 Premium for NTB-Intl. 
 NTB-Intl - Intl 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB-Intl")*($H$93:$H$321="Intl")) 	 Intl for NTB-Intl. 
 NTB-Intl - - (dash) 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB-Intl")*($H$93:$H$321="-")) 	 Dash H for NTB-Intl. 
